Raiz 1	Raiz 2	A	B	C	X1	X2	Inc
-1,#IND00	-1,#IND00	2,5	3	4,4	-5	5	0,1
							
-4,9	49,725002						
-4,8	47,600002						
-4,7	45,524998						
-4,6	43,500004						
-4,5	41,525002						
-4,4	39,600002						
-4,3	37,725006						
-4,2	35,899998						
-4,1	34,125						
-4	32,400002						
-3,9	30,725						
-3,8	29,099998						
-3,7	27,525						
-3,6	25,999998						
-3,5	24,525						
-3,4	23,1						
-3,3	21,724998						
-3,2	20,399998						
-3,1	19,125						
-3	17,9						
-2,9	16,724998						
-2,8	15,599998						
-2,7	14,525						
-2,6	13,499998						
-2,5	12,525						
-2,4	11,599998						
-2,3	10,725						
-2,2	9,9						
-2,1	9,124999						
-2	8,4						
-1,9	7,724999						
-1,8	7,1						
-1,7	6,525						
-1,6	6						
-1,5	5,525						
-1,4	5,099999						
-1,3	4,724999						
-1,2	4,4						
-1,1	4,125						
-1	3,9						
-0,9	3,725						
-0,8	3,6						
-0,7	3,525						
-0,6	3,5						
-0,5	3,525						
-0,4	3,6						
-0,3	3,725						
-0,2	3,900001						
-0,1	4,125						
0	4,4						
0,1	4,725						
0,2	5,100001						
0,3	5,525001						
0,4	6						
0,5	6,525						
0,6	7,099999						
0,7	7,725002						
0,8	8,400002						
0,9	9,125001						
1	9,9						
1,1	10,724999						
1,2	11,600002						
1,3	12,525002						
1,4	13,5						
1,5	14,525						
1,6	15,599998						
1,7	16,725004						
1,8	17,900003						
1,9	19,125						
2	20,4						
2,1	21,724998						
2,2	23,100002						
2,3	24,525003						
2,4	26						
2,5	27,525						
2,6	29,099997						
2,7	30,725004						
2,8	32,400005						
2,9	34,125004						
3	35,900002						
3,1	37,725006						
3,2	39,599998						
3,3	41,525005						
3,400001	43,500015						
3,5	45,525002						
3,6	47,600014						
3,7	49,724998						
3,8	51,900005						
3,900001	54,125015						
4	56,400002						
4,1	58,725014						
4,2	61,099995						
4,3	63,525009						
4,400001	66,000008						
4,5	68,525002						
4,6	71,100014						
4,7	73,724998						
4,8	76,400002						
4,900001	79,125023						
5	81,900002						
